title,description,category,severity,priority
Huge pothole near station,Road badly damaged,Road,high,high
Road broken near market,Accidents may happen,Road,high,high
Water leaking from pipe,Water flowing continuously,Water,medium,medium
Garbage pile near bus stand,Bad smell and insects,Waste,medium,medium
Streetlight not working,Road dark at night,Electricity,medium,medium
Open manhole on road,Danger to pedestrians,Road,high,high
Drain blocked near school,Waterlogging after rain,Drainage,high,high
Overflowing garbage bin,Waste spreading around,Waste,medium,medium
Electric pole damaged,Sparks visible,Electricity,high,high
Water supply interrupted,Residents affected,Water,medium,medium
Huge pothole near station near railway station,Road badly damaged. Causing inconvenience,Road,high,high
Huge pothole near station near railway station,Road badly damaged. Needs urgent attention,Road,high,high
Huge pothole near station near bus stand,Road badly damaged. Problem worsening daily,Road,high,high
Huge pothole near station near hospital,Road badly damaged. Needs urgent attention,Road,high,high
Huge pothole near station in ward 10,Road badly damaged. Needs urgent attention,Road,high,high
Huge pothole near station near station,Road badly damaged. Public safety issue,Road,high,high
Huge pothole near station near hospital,Road badly damaged. Residents are affected,Road,high,high
Huge pothole near station in ward 10,Road badly damaged. Authorities should inspect immediately,Road,high,high
Huge pothole near station near bus stand,Road badly damaged. Public safety issue,Road,high,high
Huge pothole near station near station,Road badly damaged. Authorities should inspect immediately,Road,high,high
Road broken near market in ward 5,Accidents may happen. Problem worsening daily,Road,high,high
Road broken near market near bus stand,Accidents may happen. Residents are affected,Road,high,high
Road broken near market near railway station,Accidents may happen. Problem worsening daily,Road,high,high
Road broken near market near hospital,Accidents may happen. Public safety issue,Road,high,high
Road broken near market near bus stand,Accidents may happen. Authorities should inspect immediately,Road,high,high
Road broken near market near market,Accidents may happen. Public safety issue,Road,high,high
Road broken near market near school,Accidents may happen. Authorities should inspect immediately,Road,high,high
Road broken near market near station,Accidents may happen. Needs urgent attention,Road,high,high
Road broken near market in ward 10,Accidents may happen. Needs urgent attention,Road,high,high
Road broken near market near market,Accidents may happen. Authorities should inspect immediately,Road,high,high
Water leaking from pipe near station,Water flowing continuously. Problem worsening daily,Water,medium,medium
Water leaking from pipe near bus stand,Water flowing continuously. Authorities should inspect immediately,Water,medium,medium
Water leaking from pipe near hospital,Water flowing continuously. Residents are affected,Water,medium,medium
Water leaking from pipe near market,Water flowing continuously. Authorities should inspect immediately,Water,medium,medium
Water leaking from pipe near station,Water flowing continuously. Problem worsening daily,Water,medium,medium
Water leaking from pipe near station,Water flowing continuously. Needs urgent attention,Water,medium,medium
Water leaking from pipe near market,Water flowing continuously. Needs urgent attention,Water,medium,medium
Water leaking from pipe near school,Water flowing continuously. Needs urgent attention,Water,medium,medium
Water leaking from pipe near railway station,Water flowing continuously. Causing inconvenience,Water,medium,medium
Water leaking from pipe in ward 5,Water flowing continuously. Needs urgent attention,Water,medium,medium
Garbage pile near bus stand in ward 10,Bad smell and insects. Problem worsening daily,Waste,medium,medium
Garbage pile near bus stand near market,Bad smell and insects. Problem worsening daily,Waste,medium,medium
Garbage pile near bus stand near railway station,Bad smell and insects. Residents are affected,Waste,medium,medium
Garbage pile near bus stand near market,Bad smell and insects. Residents are affected,Waste,medium,medium
Garbage pile near bus stand near market,Bad smell and insects. Authorities should inspect immediately,Waste,medium,medium
Garbage pile near bus stand near hospital,Bad smell and insects. Residents are affected,Waste,medium,medium
Garbage pile near bus stand in ward 5,Bad smell and insects. Causing inconvenience,Waste,medium,medium
Garbage pile near bus stand near bus stand,Bad smell and insects. Needs urgent attention,Waste,medium,medium
Garbage pile near bus stand near station,Bad smell and insects. Residents are affected,Waste,medium,medium
Garbage pile near bus stand near school,Bad smell and insects. Needs urgent attention,Waste,medium,medium
Streetlight not working near school,Road dark at night. Public safety issue,Electricity,medium,medium
Streetlight not working near hospital,Road dark at night. Authorities should inspect immediately,Electricity,medium,medium
Streetlight not working near school,Road dark at night. Residents are affected,Electricity,medium,medium
Streetlight not working near hospital,Road dark at night. Needs urgent attention,Electricity,medium,medium
Streetlight not working near station,Road dark at night. Authorities should inspect immediately,Electricity,medium,medium
Streetlight not working near market,Road dark at night. Authorities should inspect immediately,Electricity,medium,medium
Streetlight not working near hospital,Road dark at night. Authorities should inspect immediately,Electricity,medium,medium
Streetlight not working near station,Road dark at night. Authorities should inspect immediately,Electricity,medium,medium
Streetlight not working in ward 5,Road dark at night. Public safety issue,Electricity,medium,medium
Streetlight not working near hospital,Road dark at night. Authorities should inspect immediately,Electricity,medium,medium
Open manhole on road in ward 10,Danger to pedestrians. Needs urgent attention,Road,high,high
Open manhole on road near school,Danger to pedestrians. Authorities should inspect immediately,Road,high,high
Open manhole on road near station,Danger to pedestrians. Authorities should inspect immediately,Road,high,high
Open manhole on road near hospital,Danger to pedestrians. Public safety issue,Road,high,high
Open manhole on road near market,Danger to pedestrians. Causing inconvenience,Road,high,high
Open manhole on road near market,Danger to pedestrians. Causing inconvenience,Road,high,high
Open manhole on road near bus stand,Danger to pedestrians. Needs urgent attention,Road,high,high
Open manhole on road near railway station,Danger to pedestrians. Authorities should inspect immediately,Road,high,high
Open manhole on road near market,Danger to pedestrians. Authorities should inspect immediately,Road,high,high
Open manhole on road near bus stand,Danger to pedestrians. Residents are affected,Road,high,high
Drain blocked near school in ward 5,Waterlogging after rain. Problem worsening daily,Drainage,high,high
Drain blocked near school near hospital,Waterlogging after rain. Problem worsening daily,Drainage,high,high
Drain blocked near school in ward 5,Waterlogging after rain. Residents are affected,Drainage,high,high
Drain blocked near school near railway station,Waterlogging after rain. Residents are affected,Drainage,high,high
Drain blocked near school in ward 5,Waterlogging after rain. Residents are affected,Drainage,high,high
Drain blocked near school in ward 10,Waterlogging after rain. Problem worsening daily,Drainage,high,high
Drain blocked near school near bus stand,Waterlogging after rain. Needs urgent attention,Drainage,high,high
Drain blocked near school in ward 10,Waterlogging after rain. Needs urgent attention,Drainage,high,high
Drain blocked near school near station,Waterlogging after rain. Authorities should inspect immediately,Drainage,high,high
Drain blocked near school in ward 5,Waterlogging after rain. Authorities should inspect immediately,Drainage,high,high
Overflowing garbage bin in ward 10,Waste spreading around. Problem worsening daily,Waste,medium,medium
Overflowing garbage bin in ward 5,Waste spreading around. Residents are affected,Waste,medium,medium
Overflowing garbage bin near school,Waste spreading around. Causing inconvenience,Waste,medium,medium
Overflowing garbage bin near hospital,Waste spreading around. Causing inconvenience,Waste,medium,medium
Overflowing garbage bin near school,Waste spreading around. Causing inconvenience,Waste,medium,medium
Overflowing garbage bin near school,Waste spreading around. Authorities should inspect immediately,Waste,medium,medium
Overflowing garbage bin in ward 5,Waste spreading around. Needs urgent attention,Waste,medium,medium
Overflowing garbage bin in ward 5,Waste spreading around. Problem worsening daily,Waste,medium,medium
Overflowing garbage bin near hospital,Waste spreading around. Causing inconvenience,Waste,medium,medium
Overflowing garbage bin near school,Waste spreading around. Authorities should inspect immediately,Waste,medium,medium
Electric pole damaged near railway station,Sparks visible. Residents are affected,Electricity,high,high
Electric pole damaged near school,Sparks visible. Needs urgent attention,Electricity,high,high
Electric pole damaged near market,Sparks visible. Needs urgent attention,Electricity,high,high
Electric pole damaged near railway station,Sparks visible. Authorities should inspect immediately,Electricity,high,high
Electric pole damaged in ward 5,Sparks visible. Problem worsening daily,Electricity,high,high
Electric pole damaged near hospital,Sparks visible. Residents are affected,Electricity,high,high
Electric pole damaged near bus stand,Sparks visible. Problem worsening daily,Electricity,high,high
Electric pole damaged near bus stand,Sparks visible. Problem worsening daily,Electricity,high,high
Electric pole damaged near station,Sparks visible. Problem worsening daily,Electricity,high,high
Electric pole damaged near station,Sparks visible. Authorities should inspect immediately,Electricity,high,high
Water supply interrupted near station,Residents affected. Needs urgent attention,Water,medium,medium
Water supply interrupted in ward 5,Residents affected. Causing inconvenience,Water,medium,medium
Water supply interrupted in ward 5,Residents affected. Public safety issue,Water,medium,medium
Water supply interrupted in ward 10,Residents affected. Needs urgent attention,Water,medium,medium
Water supply interrupted near bus stand,Residents affected. Causing inconvenience,Water,medium,medium
Water supply interrupted near market,Residents affected. Needs urgent attention,Water,medium,medium
Water supply interrupted in ward 10,Residents affected. Public safety issue,Water,medium,medium
Water supply interrupted near railway station,Residents affected. Public safety issue,Water,medium,medium
Water supply interrupted near market,Residents affected. Problem worsening daily,Water,medium,medium
Water supply interrupted near railway station,Residents affected. Problem worsening daily,Water,medium,medium
